Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"A Marroquin Cruz","Exploring the Open Source Hardware phenomenon: Empirical essays on the role of user communities in the creation of innovation, organizations and markets",2017,"","openaccess.city.ac.uk","https://openaccess.city.ac.uk/id/eprint/17299/","https://scholar.google.com/scholar?cites=5587420609073496170&as_sdt=2005&sciodt=2007&hl=en",8,"2024-08-22 10:20:32","","","","",,,,,1,0.14,1,1,7,"… physical nature has evidenced the Open Source Hardware (OSHW) … This dissertation comprises three empirical studies that use … In the first empirical study, I argue that the relationships …","https://openaccess.city.ac.uk/id/eprint/17299/1/Cruz%2C%20Altair%20%28corrected%29.pdf","https://scholar.google.com/scholar?q=related:asCFxnCBik0J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
41,"A Mukherjee, P Mukherjee, N Dey, D De, ...","Lightweight sustainable intelligent load forecasting platform for smart grid applications",2020,"… Informatics and Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S2210537918303421","https://scholar.google.com/scholar?cites=15116125580308068335&as_sdt=2005&sciodt=2007&hl=en",298,"2024-08-22 10:20:32","","","","",,,,,41,10.25,8,5,4,"… for the inexpensive open-source hardware platform functions … track of the tradeoff between empirical error and regular terms. … This is nothing but a measure of the empirical error and is …","","https://scholar.google.com/scholar?q=related:7zd1aiBEx9EJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Parker, J Spaulding","The Potential for Low-Cost and Open Source Hardware Solutions to Scale",2021,"","haseloff.plantsci.cam.ac.uk","https://haseloff.plantsci.cam.ac.uk/resources/SynBio_reports/The-Potential-for-Low-Cost-and-Open-Source-Hardware-Solutions-to-Scale.pdf","",64,"2024-08-22 10:20:32","PDF","","","",,,,,0,0.00,0,2,3,"… Transparency is so foundational to open hardware that an empirical assessment of “openness” found that sharing CAD design files is the most common open practice observed in …","https://haseloff.plantsci.cam.ac.uk/resources/SynBio_reports/The-Potential-for-Low-Cost-and-Open-Source-Hardware-Solutions-to-Scale.pdf","https://scholar.google.com/scholar?q=related:pmONMAhHC6kJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
34,"A Pazaitis","Breaking the chains of open innovation: Post-Blockchain and the case of Sensorica",2020,"Information","mdpi.com","https://www.mdpi.com/2078-2489/11/2/104","https://scholar.google.com/scholar?cites=11145881227815671862&as_sdt=2005&sciodt=2007&hl=en",427,"2024-08-22 10:20:32","HTML","","","",,,,,34,8.50,34,1,4,"… based in Montreal, Canada, producing open hardware sensor technologies. Sensorica is an … This paper was based on a case study, to gather and analyze diverse empirical data …","https://www.mdpi.com/2078-2489/11/2/104","https://scholar.google.com/scholar?q=related:NtilXOwfrpoJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
7,"A Pazaitis, V Kostakis, W Drechsler","Towards a Theory of Value as a Commons",2022,"International Journal of the Commons","JSTOR","https://www.jstor.org/stable/48712066","https://scholar.google.com/scholar?cites=12439761014240971011&as_sdt=2005&sciodt=2007&hl=en",473,"2024-08-22 10:20:32","","","","",,,,,7,3.50,2,3,2,"… Likewise, theoretical or empirical explorations on value and … the means through which empirical economic phenomena are … Soon, open hardware and open design practices extended …","https://www.jstor.org/stable/pdf/48712066.pdf","https://scholar.google.com/scholar?q=related:AwmW2LvooqwJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
214,"A Powell","Democratizing production through open source knowledge: from open software to open hardware",2012,"Media, Culture &Society","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0163443712449497","https://scholar.google.com/scholar?cites=2205249719797197065&as_sdt=2005&sciodt=2007&hl=en",16,"2024-08-22 10:20:32","","10.1177/0163443712449497","","",,,,,214,17.83,214,1,12,"… of both of these movements on open hardware and the purported … the case of the Open Hardware and Design Alliance (… The empirical work presented here suggests that resolution …","https://journals.sagepub.com/doi/full/10.1177/0163443712449497","https://scholar.google.com/scholar?q=related:CamKre-emh4J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
7,"A Salem, A Salah, O Moselhi","Fuzzy-based configuration of automated data acquisition systems for earthmoving operations.",2018,"J. Inf. Technol. Constr.","itcon.org","https://itcon.org/papers/2018_06-ITcon-Salem.pdf","https://scholar.google.com/scholar?cites=2481835049391895162&as_sdt=2005&sciodt=2007&hl=en",404,"2024-08-22 10:20:32","PDF","","","",,,,,7,1.17,2,3,6,"This paper presents a fuzzy-set-based method for the configuration of efficient and cost-effective onsite automated data acquisition systems for earthmoving operations. Due to the …","https://itcon.org/papers/2018_06-ITcon-Salem.pdf","https://scholar.google.com/scholar?q=related:ejIe_tM_cSIJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
30,"A Seravalli","Democratizing production: challenges in co-designing enabling platforms for social innovation",2011,"Tao of Sustainability, an International Conference on …","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1408049","https://scholar.google.com/scholar?cites=17740681930157795443&as_sdt=2005&sciodt=2007&hl=en",403,"2024-08-22 10:20:32","","","","",,,,,30,2.31,30,1,13,"… aided manufacturing) requires less manual abilities and empirical experience than the ones required by … They initiated experiments with open-source hardware and production in their …","https://www.diva-portal.org/smash/get/diva2:1408049/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:cyg_qDiQM_YJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
24,"A Seravalli, L Simeone","Performing hackathons as a way of positioning boundary organizations",2016,"Journal of Organizational Change …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/JOCM-04-2013-0060/full/html","https://scholar.google.com/scholar?cites=1202255677931100100&as_sdt=2005&sciodt=2007&hl=en",442,"2024-08-22 10:20:32","","10.1108/JOCM-04-2013-0060","","",,,,,24,3.00,12,2,8,"… Create a case study database: all the empirical data from our fieldwork are stored in a case study database, that contains pictures, videos, notes and audio files and that can be …","https://www.diva-portal.org/smash/get/diva2:1398491/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:xJdHVCtFrxAJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Verani, R Di Rienzo, N Nicodemo, F Baronti, ...","Open Hardware/Software Modular Battery Emulator for Battery Management Systems Development and Functional Testing",2024,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10555218/","",102,"2024-08-22 10:20:32","","","","",,,,,0,0.00,0,5,1,"… Instead, our project aims to develop a low-cost and open hardware/software platform able to accurately reproduce the complete behavior of a battery in terms of voltages, temperatures, …","https://ieeexplore.ieee.org/iel8/6287639/10380310/10555218.pdf","https://scholar.google.com/scholar?q=related:m6FXkMJrDAgJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
